image_number,x,y,z,roll,pith,yaw,j1,j2,j3,j4,j5,j6,j7
1,-0.668231,-0.110284,0.195495,4.172795,-1.773133,-148.859342,-0.279664,0.719389,-0.155915,-1.29178,0.028846,1.11669,0.135901
2,-0.666631,-0.109477,0.190956,4.253332,-1.311572,-148.864485,-0.279664,0.724266,-0.155388,-1.295088,0.028858,1.11669,0.135901
3,-0.666303,-0.109286,0.189485,4.279,-1.176674,-148.868876,-0.279676,0.726148,-0.15522,-1.295627,0.02887,1.116666,0.135889
4,-0.666105,-0.109181,0.188277,4.303113,-1.073882,-148.871421,-0.279652,0.727826,-0.155172,-1.295843,0.028882,1.116618,0.135889
5,-0.666006,-0.109155,0.187128,4.324577,-0.983556,-148.868574,-0.279676,0.729576,-0.155172,-1.295795,0.028954,1.116546,0.135901
6,-0.665896,-0.109041,0.1859,4.339201,-0.879977,-148.865429,-0.279664,0.731433,-0.155136,-1.295807,0.029181,1.116522,0.135901
7,-0.665812,-0.108937,0.184747,4.349306,-0.780821,-148.859257,-0.279664,0.733231,-0.155124,-1.295759,0.029493,1.116534,0.135889
8,-0.665774,-0.108817,0.183982,4.348719,-0.713754,-148.853399,-0.279664,0.734417,-0.155064,-1.295759,0.029805,1.116522,0.135901
9,-0.665715,-0.108689,0.183084,4.352522,-0.634755,-148.850191,-0.279652,0.735807,-0.155004,-1.295747,0.030092,1.116534,0.135889
10,-0.665569,-0.108574,0.181675,4.377024,-0.517478,-148.85165,-0.279664,0.737917,-0.154884,-1.295735,0.03014,1.116534,0.135925
11,-0.665386,-0.108469,0.180295,4.404854,-0.401011,-148.857952,-0.279664,0.739942,-0.154788,-1.295783,0.030128,1.116546,0.135889
12,-0.665228,-0.108459,0.179158,4.431079,-0.30846,-148.8552,-0.2797,0.741632,-0.1548,-1.295795,0.030116,1.116522,0.135901
13,-0.66514,-0.10852,0.178455,4.446157,-0.251815,-148.842911,-0.279832,0.74271,-0.1548,-1.295747,0.030128,1.116522,0.135985
14,-0.665087,-0.108589,0.178113,4.452588,-0.225784,-148.799226,-0.28,0.743214,-0.154788,-1.295759,0.03014,1.116522,0.136584
15,-0.665117,-0.108881,0.178294,4.452454,-0.245225,-148.771572,-0.280335,0.743046,-0.154872,-1.295579,0.030128,1.116546,0.136692
16,-0.665134,-0.108958,0.178476,4.45046,-0.261839,-148.765674,-0.280383,0.742794,-0.154944,-1.295555,0.03014,1.116534,0.136692
17,-0.665161,-0.109141,0.178938,4.44626,-0.302331,-148.754709,-0.280515,0.742123,-0.155076,-1.295531,0.030116,1.116522,0.136668
18,-0.665124,-0.109369,0.179559,4.452466,-0.354188,-148.741581,-0.280527,0.741176,-0.155424,-1.295579,0.029984,1.116558,0.13668
19,-0.66506,-0.109688,0.180241,4.468137,-0.415803,-148.72842,-0.280539,0.740122,-0.155879,-1.295627,0.029709,1.116558,0.13668
20,-0.664946,-0.110065,0.18096,4.504408,-0.48663,-148.730765,-0.280527,0.738935,-0.156298,-1.295675,0.028966,1.116558,0.136668
21,-0.664815,-0.110489,0.181696,4.539004,-0.55692,-148.721307,-0.280527,0.737749,-0.15685,-1.295735,0.028354,1.11657,0.136692
22,-0.664725,-0.110821,0.182361,4.549172,-0.612864,-148.696299,-0.280515,0.736742,-0.157473,-1.295843,0.028331,1.11657,0.13668
23,-0.664543,-0.111157,0.182941,4.566323,-0.657139,-148.671397,-0.280527,0.735759,-0.158084,-1.296106,0.028199,1.116606,0.13668
24,-0.664281,-0.111377,0.18342,4.58485,-0.679209,-148.654685,-0.280527,0.734825,-0.158528,-1.296526,0.027983,1.116809,0.13668
25,-0.663867,-0.111604,0.183734,4.628599,-0.697994,-148.658572,-0.280515,0.73383,-0.158827,-1.297293,0.02718,1.116809,0.13668
26,-0.662939,-0.111676,0.183961,4.678847,-0.668949,-148.65725,-0.280515,0.73226,-0.159103,-1.29933,0.026293,1.116953,0.136668
27,-0.662653,-0.111618,0.183991,4.682439,-0.649544,-148.651517,-0.280515,0.731829,-0.159151,-1.300037,0.026257,1.117025,0.136668
28,-0.661887,-0.111376,0.183976,4.683619,-0.593186,-148.636965,-0.280515,0.730714,-0.159163,-1.30211,0.026257,1.117049,0.136692
29,-0.661101,-0.111107,0.183914,4.68489,-0.53173,-148.625883,-0.280503,0.729635,-0.159151,-1.304243,0.026257,1.117061,0.13668
30,-0.660586,-0.110906,0.183865,4.68485,-0.489471,-148.619383,-0.280479,0.72894,-0.159127,-1.305646,0.026269,1.117085,0.13668
31,-0.659738,-0.110638,0.183778,4.687397,-0.423533,-148.605113,-0.280479,0.727814,-0.159139,-1.307935,0.026269,1.117073,0.13668
32,-0.658874,-0.11034,0.183656,4.689488,-0.351865,-148.592619,-0.280467,0.726723,-0.159127,-1.31026,0.026281,1.117085,0.136668
33,-0.657856,-0.11,0.183499,4.692985,-0.263322,-148.574787,-0.280467,0.725501,-0.159127,-1.312932,0.026305,1.117181,0.13668
34,-0.656914,-0.109634,0.18345,4.680869,-0.186928,-148.55041,-0.280479,0.724159,-0.159127,-1.315593,0.026581,1.117169,0.136692
35,-0.655488,-0.109228,0.183539,4.678571,-0.084781,-148.517768,-0.280539,0.721978,-0.159211,-1.31938,0.026689,1.117337,0.13668
36,-0.655121,-0.109131,0.183634,4.67669,-0.065149,-148.508869,-0.280575,0.721282,-0.159211,-1.320386,0.026689,1.117361,0.136692
37,-0.654489,-0.108984,0.18381,4.677162,-0.021789,-148.492644,-0.280635,0.72018,-0.159259,-1.321944,0.026689,1.11766,0.136692
38,-0.652181,-0.108192,0.184315,4.708384,0.294192,-148.443327,-0.280659,0.717615,-0.159378,-1.325707,0.026689,1.122023,0.136692
39,-0.650665,-0.10764,0.184589,4.743201,0.563083,-148.408047,-0.280647,0.716549,-0.159498,-1.327373,0.026689,1.126181,0.136716
40,-0.647534,-0.106534,0.185204,4.818065,1.131835,-148.313806,-0.280683,0.714451,-0.159786,-1.330585,0.026725,1.135157,0.137015
41,-0.643696,-0.105076,0.185972,4.912849,1.881504,-148.046091,-0.280707,0.712378,-0.160397,-1.333976,0.02724,1.147345,0.139604
42,-0.640204,-0.103594,0.18673,5.018196,2.6103,-147.497776,-0.280707,0.710952,-0.161296,-1.336493,0.028175,1.159833,0.146771
43,-0.636703,-0.102302,0.187336,5.203099,3.28964,-146.672712,-0.280767,0.709646,-0.162398,-1.338998,0.028211,1.171961,0.158923
44,-0.633777,-0.101364,0.187583,5.416026,3.802651,-145.643322,-0.280755,0.708771,-0.163956,-1.341431,0.028211,1.181297,0.174574
45,-0.631766,-0.100882,0.187476,5.621256,4.079607,-144.508077,-0.280755,0.708256,-0.165706,-1.343648,0.028211,1.186642,0.192263
46,-0.630563,-0.10093,0.187059,5.809168,4.103394,-143.282888,-0.280755,0.707752,-0.167767,-1.346044,0.028127,1.187636,0.211689
47,-0.629482,-0.101088,0.186455,5.998541,4.081516,-142.16616,-0.280719,0.707333,-0.169661,-1.348525,0.027623,1.187624,0.229642
48,-0.628086,-0.101149,0.185684,6.187135,4.102146,-141.168276,-0.280719,0.706758,-0.171351,-1.351749,0.027012,1.187636,0.245593
49,-0.626456,-0.100872,0.184707,6.34686,4.180431,-140.228069,-0.280719,0.70611,-0.172765,-1.355872,0.026988,1.187636,0.260405
50,-0.624373,-0.100347,0.183626,6.506741,4.307299,-139.384439,-0.280719,0.704936,-0.173867,-1.361228,0.026844,1.187624,0.273672
51,-0.621909,-0.099564,0.18233,6.687539,4.469425,-138.545471,-0.280707,0.703462,-0.174622,-1.367628,0.026353,1.187576,0.287154
52,-0.619195,-0.098448,0.180935,6.864911,4.645633,-137.666462,-0.280707,0.701508,-0.174994,-1.37513,0.02591,1.187205,0.301511
53,-0.616449,-0.097418,0.179515,7.055764,4.753007,-136.841785,-0.280707,0.699052,-0.17509,-1.383148,0.024603,1.185695,0.315568
54,-0.61333,-0.096397,0.178121,7.290095,4.878296,-136.08973,-0.280659,0.696235,-0.17509,-1.391584,0.022458,1.184592,0.328739
55,-0.60787,-0.094365,0.176085,7.620572,5.112202,-134.872886,-0.280611,0.690615,-0.175102,-1.406924,0.020109,1.182507,0.3494
56,-0.606376,-0.093798,0.175528,7.689258,5.153869,-134.547438,-0.280635,0.688817,-0.175102,-1.411562,0.01969,1.181261,0.354829
57,-0.603312,-0.092715,0.174445,7.813154,5.172717,-133.941186,-0.280611,0.684551,-0.175078,-1.421629,0.018479,1.177462,0.365243
58,-0.600448,-0.092211,0.173314,7.934234,5.015062,-133.440689,-0.280623,0.679685,-0.17509,-1.431959,0.015783,1.170978,0.374735
59,-0.598129,-0.092263,0.172221,7.998273,4.657594,-133.028996,-0.280659,0.674352,-0.175234,-1.44223,0.012415,1.161331,0.383315
60,-0.596314,-0.093157,0.170881,8.035075,4.039242,-132.766633,-0.280635,0.66866,-0.175569,-1.452584,0.00725,1.147393,0.390614
61,-0.594689,-0.094893,0.169242,8.105125,3.226586,-132.697258,-0.280647,0.662847,-0.175869,-1.462795,-0.000551,1.130531,0.396258
62,-0.593564,-0.09737,0.167324,8.165597,2.178286,-132.7631,-0.280635,0.656915,-0.17612,-1.472921,-0.010414,1.109835,0.40128
63,-0.592836,-0.100183,0.165326,8.181171,1.001514,-132.880941,-0.280635,0.650923,-0.176468,-1.483144,-0.020673,1.086669,0.406037
64,-0.592088,-0.102568,0.163501,8.126137,-0.022571,-133.032196,-0.280647,0.64541,-0.177151,-1.493295,-0.028391,1.064966,0.408614
65,-0.589758,-0.104311,0.160868,7.889615,-0.969563,-133.011807,-0.280671,0.63798,-0.17956,-1.510576,-0.031411,1.038313,0.410268
66,-0.588536,-0.10435,0.160164,7.864409,-1.04055,-132.981827,-0.280683,0.636242,-0.180267,-1.515394,-0.031387,1.03395,0.410256
67,-0.586017,-0.104077,0.158923,7.87756,-1.01903,-132.919521,-0.280695,0.633654,-0.181286,-1.523375,-0.031303,1.029061,0.410268
68,-0.582347,-0.103181,0.15721,7.974123,-0.776957,-132.837175,-0.280695,0.631281,-0.182124,-1.532759,-0.031099,1.026688,0.410256
69,-0.577266,-0.101386,0.154466,8.149561,-0.235055,-132.69595,-0.280719,0.629831,-0.182808,-1.544311,-0.029889,1.026676,0.410268
70,-0.575938,-0.100874,0.15357,8.20141,-0.07717,-132.658186,-0.280695,0.629819,-0.182975,-1.547272,-0.029493,1.026676,0.41028
71,-0.573729,-0.099988,0.152004,8.300805,0.182632,-132.62372,-0.280695,0.629867,-0.182951,-1.552137,-0.029314,1.026652,0.41028
72,-0.569842,-0.09842,0.148954,8.502005,0.654347,-132.57871,-0.280635,0.630598,-0.18282,-1.56043,-0.029326,1.026628,0.410328
73,-0.568868,-0.098043,0.148188,8.553813,0.772186,-132.558473,-0.280635,0.630813,-0.182808,-1.56248,-0.029326,1.02664,0.41046
74,-0.567654,-0.097573,0.147189,8.619312,0.915399,-132.515077,-0.280635,0.631137,-0.182808,-1.565068,-0.029326,1.026556,0.410939
75,-0.566462,-0.09708,0.145997,8.682285,1.035394,-132.398104,-0.280647,0.631592,-0.182796,-1.56792,-0.029338,1.025861,0.412772
76,-0.566128,-0.096912,0.144869,8.675738,0.957324,-132.14954,-0.280671,0.631916,-0.182808,-1.570293,-0.029445,1.022458,0.417386
77,-0.566481,-0.096892,0.143547,8.601386,0.682481,-131.673538,-0.280671,0.63212,-0.182784,-1.572894,-0.029637,1.01589,0.42653
78,-0.567023,-0.097042,0.142261,8.521261,0.330607,-131.121141,-0.280659,0.632168,-0.182796,-1.575375,-0.030368,1.008532,0.437436
79,-0.567539,-0.097328,0.140846,8.449532,-0.06943,-130.500837,-0.280683,0.632168,-0.182832,-1.578071,-0.031734,1.000491,0.449924
80,-0.567968,-0.097433,0.139374,8.342634,-0.429848,-129.81263,-0.280815,0.632156,-0.182915,-1.581283,-0.032166,0.992461,0.462843
81,-0.567959,-0.097339,0.137984,8.263464,-0.66779,-129.119357,-0.281126,0.632156,-0.182963,-1.584662,-0.032154,0.986361,0.47515
82,-0.567573,-0.097154,0.136743,8.229792,-0.793716,-128.526686,-0.281534,0.632204,-0.182939,-1.587802,-0.032154,0.982298,0.485409
83,-0.566833,-0.096946,0.135596,8.241231,-0.820351,-128.063166,-0.281989,0.632371,-0.182963,-1.590726,-0.032142,0.979914,0.493103
84,-0.566088,-0.09685,0.134639,8.265863,-0.808312,-127.743406,-0.282492,0.632611,-0.183011,-1.593087,-0.032118,0.97838,0.498136
85,-0.56525,-0.096762,0.133676,8.316583,-0.727621,-127.654004,-0.282924,0.633222,-0.182987,-1.594957,-0.03213,0.977709,0.499203
86,-0.564774,-0.096609,0.133129,8.357287,-0.662646,-127.649186,-0.282948,0.633726,-0.182987,-1.595796,-0.032166,0.977709,0.499203
87,-0.564328,-0.096453,0.132514,8.40072,-0.594484,-127.646655,-0.282948,0.634409,-0.182987,-1.596527,-0.03219,0.977709,0.499191
88,-0.564093,-0.096369,0.132005,8.426424,-0.560018,-127.649755,-0.282936,0.63502,-0.182963,-1.596982,-0.03225,0.977385,0.499203
89,-0.564221,-0.096605,0.131592,8.42952,-0.618311,-127.68057,-0.282948,0.635535,-0.182975,-1.596982,-0.032837,0.975947,0.499191
